date,memory_usage_in_kB
2022-05-15 16:06:01+02:00, 1448516
2022-05-15 16:07:01+02:00, 1448548
2022-05-15 16:08:01+02:00, 1450512
2022-05-15 16:09:01+02:00, 1452428
2022-05-15 16:10:01+02:00, 1455064
2022-05-15 16:11:01+02:00, 1458268
2022-05-15 16:12:01+02:00, 1460888
2022-05-15 16:13:01+02:00, 1461436
2022-05-15 16:14:01+02:00, 1462856
2022-05-15 16:15:01+02:00, 1466212
2022-05-15 16:16:01+02:00, 1469140
2022-05-15 16:17:01+02:00, 1470252
2022-05-15 16:18:01+02:00, 1472164
2022-05-15 16:19:01+02:00, 1473612
2022-05-15 16:20:01+02:00, 1476372
2022-05-15 16:21:01+02:00, 1481652
2022-05-15 16:22:01+02:00, 1481792
2022-05-15 16:23:01+02:00, 1482760
2022-05-15 16:24:01+02:00, 1484464
2022-05-15 16:25:01+02:00, 1486836
2022-05-15 16:26:01+02:00, 1489280
2022-05-15 16:27:01+02:00, 1493136
2022-05-15 16:28:01+02:00, 1493628
2022-05-15 16:29:01+02:00, 1495948
2022-05-15 16:30:01+02:00, 1498068
2022-05-15 16:31:01+02:00, 1500504
2022-05-15 16:32:01+02:00, 1502112
2022-05-15 16:33:01+02:00, 1504560
2022-05-15 16:34:01+02:00, 1507316
2022-05-15 16:35:01+02:00, 1509548
2022-05-15 16:36:01+02:00, 1512656
2022-05-15 16:37:01+02:00, 1514832
2022-05-15 16:38:01+02:00, 1518124
2022-05-15 16:39:01+02:00, 1520352
2022-05-15 16:40:01+02:00, 1523272
2022-05-15 16:41:01+02:00, 1525720
2022-05-15 16:42:01+02:00, 1527552
2022-05-15 16:43:01+02:00, 1530268
2022-05-15 16:44:01+02:00, 1532704
2022-05-15 16:45:02+02:00, 1540364
2022-05-15 16:46:01+02:00, 1541936
2022-05-15 16:47:01+02:00, 1547616
2022-05-15 16:48:01+02:00, 1551292
2022-05-15 16:49:01+02:00, 1560812
2022-05-15 16:50:01+02:00, 1561068
2022-05-15 16:51:01+02:00, 1562000
2022-05-15 16:52:01+02:00, 1564528
2022-05-15 16:53:01+02:00, 1566684
2022-05-15 16:54:01+02:00, 1569152
2022-05-15 16:55:01+02:00, 1571684
2022-05-15 16:56:01+02:00, 1574764
2022-05-15 16:57:01+02:00, 1577136
2022-05-15 16:58:01+02:00, 1580140
2022-05-15 16:59:01+02:00, 1583548
2022-05-15 17:00:01+02:00, 1585416
2022-05-15 17:01:01+02:00, 1587480
2022-05-15 17:02:01+02:00, 1590060
2022-05-15 17:03:01+02:00, 1592576
2022-05-15 17:04:01+02:00, 1594948
2022-05-15 17:05:01+02:00, 1597720
2022-05-15 17:06:01+02:00, 1600180
2022-05-15 17:07:01+02:00, 1602404
2022-05-15 17:08:01+02:00, 1605500
2022-05-15 17:09:01+02:00, 1607872
